item_id,time_period,category,silhouette,neckline,sleeve_type,hemline,primary_color,secondary_color,pattern,fabric,sustainability_label,price_segment,year,quarter,search_volume,social_mentions,runway_appearances,celebrity_wears,influencer_posts,retail_availability,price_index,units_sold,return_rate,avg_rating,review_count,trend_score,trending_next_quarter
FSH100000,2024-Q3,Footwear,Flowy,Off-Shoulder,Long,Maxi,White,Pink,Solid,Satin,Conventional,Premium,2024,Q3,1614,5056,4,2,456,0.57,101.37,405,25.1,4.34,96,49.4,0
FSH100001,2022-Q1,Outerwear,Flowy,High-Neck,Bell,Knee-Length,White,Blue,Solid,Cotton,Upcycled,Budget,2022,Q1,16340,601,2,1,75,0.76,147.97,4,24.2,3.95,11,34.6,0
FSH100002,2018-Q3,Dresses,Structured,High-Neck,Long,Cropped,White,Black,Geometric,Polyester,Recycled,Mid-Range,2018,Q3,2454,114,6,2,167,0.5,369.55,929,22.2,4.08,60,56.9,1
FSH100003,2016-Q4,Bottoms,Flowy,Off-Shoulder,Sleeveless,Floor-Length,Red,Beige,Polka Dot,Polyester,Sustainable,Premium,2016,Q4,212,1197,2,1,53,0.65,401.33,385,23.3,4.03,172,36.9,0
FSH100004,2020-Q1,Dresses,Relaxed,High-Neck,Bell,Mini,Pink,Green,Solid,Wool,Recycled,Mid-Range,2020,Q1,14292,6984,2,4,214,0.61,341.13,1155,24.5,4.19,15,50.4,0
FSH100005,2024-Q3,Accessories,Structured,Square,Bell,Midi,Grey,Blue,Solid,Cotton,Conventional,Premium,2024,Q3,20715,863,4,0,26,0.76,361.59,397,10.8,3.63,35,51.9,1
FSH100006,2019-Q3,Accessories,Structured,Crew,Short,Midi,White,Yellow,Solid,Denim,Conventional,Mid-Range,2019,Q3,929,1323,2,5,92,0.84,327.98,402,6.7,3.82,72,55.7,1
FSH100007,2020-Q3,Dresses,Structured,V-Neck,Cap,Cropped,Brown,Yellow,Solid,Leather,Organic,Premium,2020,Q3,322,1429,1,5,107,0.56,179.91,684,23.9,4.15,38,54.7,1
FSH100008,2017-Q3,Footwear,Fitted,V-Neck,Three-Quarter,Midi,Blue,Red,Polka Dot,Satin,Conventional,Premium,2017,Q3,2902,157,2,0,108,0.25,308.97,569,6.4,4.01,41,23.9,0
FSH100009,2017-Q3,Accessories,Relaxed,Square,Long,Floor-Length,Green,Pink,Solid,Knit,Conventional,Premium,2017,Q3,11917,27,2,2,211,0.98,407.29,770,15.6,3.51,70,49.5,0
FSH100010,2020-Q4,Tops,Relaxed,V-Neck,Cap,Maxi,Navy,Multi,Solid,Leather,Conventional,Luxury,2020,Q4,2751,4229,2,2,36,0.93,150.23,292,38.6,4.47,95,38.7,0
FSH100011,2023-Q4,Outerwear,Structured,Scoop,Short,Knee-Length,Navy,Blue,Solid,Leather,Sustainable,Luxury,2023,Q4,1966,4516,0,3,35,0.11,159.76,234,14.2,3.56,85,52.4,1
FSH100012,2024-Q4,Bottoms,Tailored,Crew,Sleeveless,Midi,Brown,None,Striped,Velvet,Conventional,Mid-Range,2024,Q4,21247,698,7,2,1485,0.59,236.06,412,4.0,4.31,21,55.3,1
FSH100013,2020-Q4,Outerwear,Tailored,Scoop,Bell,Floor-Length,Navy,Orange,Solid,Satin,Organic,Budget,2020,Q4,960,1155,4,1,53,0.43,176.64,2284,11.0,4.55,378,31.6,0
FSH100014,2015-Q3,Tops,Relaxed,Off-Shoulder,Cap,Floor-Length,Navy,Orange,Solid,Wool,Conventional,Luxury,2015,Q3,14536,754,2,4,38,0.33,297.26,3020,18.7,3.6,53,38.6,0
FSH100015,2020-Q2,Tops,Relaxed,Scoop,Three-Quarter,Floor-Length,Yellow,Blue,Tie-Dye,Leather,Conventional,Mid-Range,2020,Q2,7529,10914,1,2,63,0.26,107.85,716,2.9,3.15,98,33.8,0
FSH100016,2015-Q2,Bottoms,Fitted,High-Neck,Cap,Floor-Length,Multi,Blue,Solid,Velvet,Conventional,Luxury,2015,Q2,3234,340,5,2,46,0.73,485.75,160,31.7,4.8,59,46.2,0
FSH100017,2020-Q4,Dresses,Relaxed,High-Neck,Bell,Maxi,Black,Purple,Solid,Velvet,Recycled,Budget,2020,Q4,4023,563,6,1,93,0.42,338.57,160,17.6,3.93,9,53.5,1
FSH100018,2022-Q2,Footwear,Flowy,Crew,Short,Mini,Blue,None,Floral,Wool,Upcycled,Premium,2022,Q2,4461,1724,1,3,99,0.93,405.38,87,28.6,3.75,29,37.2,0
FSH100019,2024-Q2,Tops,Tailored,Scoop,Cap,Cropped,Pink,Navy,Floral,Silk,Conventional,Premium,2024,Q2,2015,99,7,5,1229,0.73,73.36,3585,3.7,4.37,97,72.7,1
FSH100020,2015-Q2,Tops,Relaxed,Scoop,Bell,Floor-Length,Red,Navy,Plaid,Polyester,Conventional,Mid-Range,2015,Q2,4230,7686,4,4,92,0.65,113.85,99,5.2,3.75,32,51.9,1
FSH100021,2020-Q1,Accessories,Relaxed,V-Neck,Sleeveless,Mini,Navy,Blue,Solid,Knit,Conventional,Mid-Range,2020,Q1,12759,2784,3,1,34,0.68,325.67,125,24.1,4.35,25,39.3,0
FSH100022,2023-Q1,Bottoms,Relaxed,Crew,Short,Mini,Pink,Green,Solid,Polyester,Conventional,Luxury,2023,Q1,3062,1714,2,1,84,0.82,467.85,876,14.9,4.26,452,33.4,0
FSH100023,2017-Q4,Bottoms,Relaxed,V-Neck,Long,Maxi,Red,White,Solid,Velvet,Organic,Mid-Range,2017,Q4,3431,135,7,0,327,0.9,416.93,317,19.8,2.84,34,46.4,0
FSH100024,2020-Q2,Accessories,Flowy,Crew,Short,Floor-Length,Beige,Multi,Abstract,Denim,Organic,Premium,2020,Q2,2363,283,5,3,318,0.6,270.31,632,16.1,4.19,2,52.0,1
FSH100025,2021-Q1,Accessories,Structured,Crew,Cap,Floor-Length,Grey,Orange,Solid,Silk,Conventional,Budget,2021,Q1,1396,378,0,1,203,0.21,269.52,2407,8.0,4.44,289,32.3,0
FSH100026,2021-Q3,Dresses,Flowy,Scoop,Bell,Midi,Navy,Grey,Solid,Knit,Sustainable,Luxury,2021,Q3,5851,729,3,6,80,0.64,100.71,91,14.4,4.48,8,73.7,1
FSH100027,2021-Q4,Bottoms,Structured,Square,Three-Quarter,Maxi,Green,White,Striped,Wool,Conventional,Budget,2021,Q4,13708,1210,2,2,631,0.17,170.14,189,13.0,4.57,5,39.5,0
FSH100028,2018-Q4,Accessories,Relaxed,V-Neck,Short,Midi,Purple,Orange,Solid,Satin,Conventional,Budget,2018,Q4,1519,774,4,2,815,0.2,449.89,12,5.8,3.21,70,24.8,0
FSH100029,2018-Q3,Tops,Relaxed,Off-Shoulder,Short,Knee-Length,Yellow,Orange,Abstract,Leather,Conventional,Luxury,2018,Q3,905,479,3,3,156,0.91,285.28,1196,16.1,4.6,389,43.3,0
FSH100030,2015-Q3,Tops,Fitted,V-Neck,Short,Cropped,Green,Blue,Solid,Velvet,Conventional,Budget,2015,Q3,2563,3814,4,1,84,0.22,146.49,290,3.4,4.28,38,37.5,0
FSH100031,2024-Q1,Dresses,Flowy,Off-Shoulder,Short,Knee-Length,Pink,Navy,Abstract,Velvet,Conventional,Premium,2024,Q1,2465,1072,1,1,135,0.46,364.34,614,5.2,4.48,38,33.6,0
FSH100032,2016-Q3,Dresses,Flowy,High-Neck,Cap,Floor-Length,Grey,Black,Tie-Dye,Leather,Recycled,Premium,2016,Q3,3839,1013,1,6,320,0.63,239.04,350,7.1,4.36,137,57.0,1
FSH100033,2020-Q1,Outerwear,Flowy,Crew,Long,Midi,White,Multi,Solid,Silk,Upcycled,Premium,2020,Q1,4119,669,4,3,1766,0.14,398.22,865,12.8,3.84,52,53.3,1
FSH100034,2017-Q1,Footwear,Fitted,V-Neck,Three-Quarter,Midi,Green,White,Solid,Wool,Conventional,Budget,2017,Q1,41138,2434,1,2,61,0.74,384.46,53,8.4,4.6,11,37.2,0
FSH100035,2024-Q3,Accessories,Flowy,Crew,Short,Mini,Black,Orange,Plaid,Wool,Recycled,Budget,2024,Q3,32799,244,0,0,1093,0.88,248.75,78,3.2,3.67,1264,32.2,0
FSH100036,2019-Q2,Footwear,Fitted,Square,Bell,Midi,Blue,Orange,Solid,Linen,Conventional,Premium,2019,Q2,8822,7180,5,3,60,0.55,366.86,348,26.4,3.27,88,33.4,0
FSH100037,2015-Q4,Tops,Fitted,V-Neck,Three-Quarter,Mini,Grey,Blue,Solid,Cotton,Sustainable,Mid-Range,2015,Q4,1653,2701,2,2,314,0.82,109.93,392,19.5,4.23,52,38.6,0
FSH100038,2021-Q1,Dresses,Oversized,High-Neck,Cap,Floor-Length,Black,Green,Solid,Wool,Upcycled,Luxury,2021,Q1,2685,620,3,3,34,0.14,275.0,2394,33.5,3.16,1051,45.1,0
FSH100039,2018-Q2,Accessories,Oversized,V-Neck,Long,Mini,Grey,None,Floral,Linen,Conventional,Budget,2018,Q2,104,1570,3,4,41,0.38,146.88,1283,11.7,3.36,150,57.8,1
FSH100040,2017-Q1,Tops,Flowy,High-Neck,Short,Cropped,Black,Pink,Solid,Leather,Conventional,Budget,2017,Q1,3396,488,3,3,226,0.65,390.71,236,30.7,5.0,2001,37.0,0
FSH100041,2021-Q2,Tops,Structured,Crew,Long,Midi,White,None,Solid,Knit,Conventional,Budget,2021,Q2,8148,2613,3,0,96,0.28,124.92,1832,23.6,4.17,21,43.7,0
FSH100042,2015-Q2,Accessories,Fitted,Scoop,Short,Floor-Length,Grey,Navy,Solid,Cotton,Organic,Mid-Range,2015,Q2,2467,1680,2,0,947,0.81,257.77,681,8.3,3.25,104,24.7,0
FSH100043,2019-Q4,Bottoms,Relaxed,Square,Short,Knee-Length,Black,None,Solid,Cotton,Conventional,Premium,2019,Q4,1451,1206,7,3,13,0.87,300.45,156,8.5,5.0,128,58.0,1
FSH100044,2021-Q4,Tops,Relaxed,Off-Shoulder,Bell,Maxi,Blue,Purple,Solid,Wool,Conventional,Premium,2021,Q4,5590,137,5,4,105,0.42,306.32,3025,1.4,4.1,26,52.1,1
